date,merchant,amount
03/21/2025,TRADER JOES,-28.33
07/05/2025,APPLEBEES,-37.84
01/24/2025,CHICK-FIL-A,-9.38
09/03/2025,KROGER,-15.89
07/11/2025,LYFT RIDE,-34.89
10/19/2025,WALMART,-95.19
12/23/2025,TARGET STORES,-44.95
08/05/2025,APPLE STORE,-148.27
10/03/2025,SUBWAY RESTAURANT,-12.51
02/25/2025,KROGER,-37.79
10/03/2025,TRADER JOES,-65.55
12/24/2025,CHIPOTLE MEXICAN GRILL,-12.37
12/09/2025,DR SMITH FAMILY MEDICINE,-180.52
04/09/2025,BURGER KING,-10.65
02/11/2025,SAFEWAY,-72.65
11/20/2025,WATER UTILITY,-64.74
06/08/2025,APPLE STORE,-528.94
07/23/2025,LYFT RIDE,-25.44
07/09/2025,PANERA BREAD,-10.20
07/02/2025,CHIPOTLE MEXICAN GRILL,-12.25
09/28/2025,ELECTRIC COMPANY,-154.86
01/25/2025,STARBUCKS COFFEE,-4.76
10/04/2025,AMAZON FRESH,-64.10
08/17/2025,RED LOBSTER,-48.50
10/06/2025,PANERA BREAD,-14.57
02/08/2025,BURGER KING,-7.00
05/25/2025,APPLE STORE,-582.48
05/14/2025,DR SMITH FAMILY MEDICINE,-140.47
03/18/2025,ALDI,-43.17
06/06/2025,NORDSTROM,-91.93
12/21/2025,PANERA BREAD,-17.94
01/20/2025,UBER TECHNOLOGIES,-13.10
10/19/2025,SHELL GAS STATION,-53.23
02/22/2025,WHOLE FOODS MARKET,-68.37
09/22/2025,MTA SUBWAY FARE,-3.04
08/08/2025,WALMART,-126.15
01/03/2025,DR SMITH FAMILY MEDICINE,-25.13
07/09/2025,PANERA BREAD,-16.53
02/01/2025,APPLEBEES,-35.51
12/18/2025,STARBUCKS COFFEE,-7.44
10/19/2025,MTA SUBWAY FARE,-4.84
10/16/2025,GAS COMPANY,-84.61
06/03/2025,AMAZON FRESH,-96.13
02/09/2025,WALMART,-117.70
09/06/2025,RED LOBSTER,-22.42
11/10/2025,TARGET STORES,-73.08
07/24/2025,DR SMITH FAMILY MEDICINE,-182.78
04/05/2025,PANERA BREAD,-10.25
03/09/2025,TJMAXX,-18.45
12/06/2025,WALMART,-26.18
09/24/2025,COMCAST INTERNET,-91.90
02/25/2025,ALDI,-37.07
08/19/2025,WATER UTILITY,-60.32
06/27/2025,WALMART,-46.96
05/07/2025,DR PEPPER SNAPPLE GROUP,-27.21
02/02/2025,UNITED WAY,-24.32
01/28/2025,TRADER JOES,-66.26
05/08/2025,APPLE STORE,-66.88
12/10/2025,BEST BUY,-91.56
07/20/2025,CHIPOTLE MEXICAN GRILL,-9.66
01/08/2025,WALGREENS PHARMACY,-43.79
04/28/2025,WALMART,-86.87
10/08/2025,TARGET,-67.70
07/22/2025,OLIVE GARDEN,-22.18
10/24/2025,DR PEPPER SNAPPLE GROUP,-12.56
10/11/2025,WALGREENS PHARMACY,-26.97
03/17/2025,STARBUCKS COFFEE,-4.11
02/28/2025,SUBWAY RESTAURANT,-6.31
10/15/2025,KROGER,-67.29
11/21/2025,UNITED WAY,-28.13
03/22/2025,WATER UTILITY,-48.20
09/03/2025,WALGREENS PHARMACY,-22.97
01/03/2025,GAS COMPANY,-64.68
01/20/2025,TARGET,-53.69
09/22/2025,CHIPOTLE MEXICAN GRILL,-8.43
06/05/2025,WALGREENS PHARMACY,-11.16
07/07/2025,ELECTRIC COMPANY,-92.76
07/15/2025,WALMART,-103.94
05/07/2025,SHELL GAS STATION,-49.09
11/23/2025,WATER UTILITY,-68.04
06/28/2025,KROGER,-67.71
04/20/2025,WALGREENS PHARMACY,-34.07
08/05/2025,OLIVE GARDEN,-35.24
05/26/2025,WHOLE FOODS MARKET,-31.76
10/14/2025,WATER UTILITY,-65.80
04/06/2025,TARGET STORES,-31.02
09/08/2025,TARGET STORES,-38.40
02/28/2025,UBER TECHNOLOGIES,-38.42
04/17/2025,AMAZON FRESH,-113.41
09/05/2025,WALGREENS PHARMACY,-35.73
08/26/2025,UNITED WAY,-22.30
06/13/2025,RED CROSS DONATION,-97.59
10/07/2025,RED CROSS DONATION,-52.08
11/08/2025,CVS PHARMACY,-42.43
07/03/2025,NORDSTROM,-108.84
03/13/2025,AMAZON MARKETPLACE,-33.05
10/23/2025,STARBUCKS COFFEE,-7.74
06/04/2025,STARBUCKS COFFEE,-7.38
08/26/2025,TJMAXX,-64.21
03/15/2025,BEST BUY,-207.62
10/07/2025,APPLE STORE,-209.04
08/13/2025,BURGER KING,-9.94
02/12/2025,BURGER KING,-8.56
05/15/2025,APPLEBEES,-24.85
09/15/2025,DR SMITH FAMILY MEDICINE,-134.65
12/11/2025,DR PEPPER SNAPPLE GROUP,-20.24
07/07/2025,STARBUCKS COFFEE,-5.77
11/09/2025,CHICK-FIL-A,-10.87
11/03/2025,CVS PHARMACY,-10.34
04/19/2025,WHOLE FOODS MARKET,-79.40
02/22/2025,WALMART,-125.25
10/01/2025,OLIVE GARDEN,-34.18
11/23/2025,COMCAST INTERNET,-107.02
12/04/2025,PANERA BREAD,-15.99
